account_key,bank_key,account_number,entity_id,laundering_sent_count,laundering_received_count,laundering_participations
691170,72647,100428660,2AA207C1D80,1524,4,1528
691441,72647,1004286A8,2AA1E412530,955,1,956
691742,72647,1004286F0,2AA1EF90E80,280,0,280
696599,72647,1004289C0,2AA2053BE70,193,0,193
697201,72647,100428858,2AA1FAAE9F0,164,0,164
690518,72647,1004287C8,2AA1F755010,139,1,140
696951,72647,100428810,2AA1FA6EF30,133,0,133
697500,72647,1004288A0,2AA2073DA80,126,0,126
690270,72647,100428780,2AA204AC7D0,114,0,114
697729,72647,1004288E8,2AA1FE8CF20,113,0,113
696276,72647,100428978,2AA1FE77150,108,0,108
689949,72647,100428738,2AA1F3CC8F0,100,0,100
696037,72647,100428930,2AA20023E90,94,0,94
705190,121716,81C393430,2AA1F6F5630,46,45,91
947319,52434,81BBEA160,2AA1F729E30,43,41,84
695163,72647,100428A51,2AA208AC7D0,75,0,75
694866,72647,100428A08,2AA219D3C80,72,0,72
1374563,85402,800ED43D0,2AA1CAA0140,29,37,66
1345852,99242,824BF8940,2AA1FA00EE0,20,40,60
204342,59701,824BF4150,2AA1D888590,31,28,59
1042054,59773,83000D0D0,2AA1F1B43C0,33,24,57
100846,121716,81ACBE4A0,2AA1F6F3050,27,27,54
1111512,64580,8038DA860,2AA1CE713C0,24,26,50
1373392,117113,803C25F20,2AA1CEFB800,27,22,49
540072,87597,804682F80,2AA1CFB5C20,27,21,48
1039994,121716,81C387B50,2AA1F6F55D0,27,19,46
872467,46578,81C38D180,2AA1F6EEBF0,24,22,46
1543600,74225,822C3FBE0,2AA1F8DEC80,23,23,46
1303772,21050,824EFD540,2AA1FA816D0,22,24,46
1087426,84395,824D54C10,2AA206EB910,23,22,45
460407,15514,81E25E8A0,2AA1D867250,19,26,45
1356895,97716,823DD3180,2AA1F88C930,19,26,45
458832,63374,823DD2F90,2AA1F9C0560,24,20,44
1467777,95064,824EFD4F0,2AA1F9F7DA0,23,21,44
1943321,87597,824D54C60,2AA20649760,23,21,44
1512143,107339,81EA58E80,2AA1D726C10,22,22,44
1692833,54534,824C0E130,2AA1F993580,20,23,43
1976062,73952,8076420F0,2AA1E53D850,26,16,42
91914,104344,823D31B40,2AA1CDA66E0,23,19,42
1027197,121716,81B787700,2AA1F6F4550,21,21,42
1025158,101975,81A875B90,2AA1F6E55D0,20,22,42
917079,40694,805754320,2AA206F2670,19,23,42
795222,55703,823D33310,2AA1D518DF0,17,25,42
231565,104848,81A403A90,2AA1D8A03F0,22,19,41
1184514,114088,824C0E180,2AA1F952A60,22,19,41
1890519,69414,823DD2B80,2AA1F9327E0,22,19,41
1630963,70161,81C5B2AB0,2AA1F7C80B0,17,24,41
1253267,118814,81DC1E690,2AA1DAFDC30,18,22,40
1453695,31613,81C3680B0,2AA1F793CB0,20,19,39
645000,81792,805753DD0,2AA1CEBA040,18,21,39
1627734,51830,830462B80,2AA1FCCA4E0,18,21,39
1658940,74468,824D54BC0,2AA1CD8DFC0,18,21,39
103600,119099,81A790740,2AA1F6D7DF0,17,22,39
1545534,25775,830314840,2AA1D45CF50,22,16,38
1448554,6912,830314890,2AA20147010,16,22,38
463496,86180,81C387820,2AA1F75CA30,15,23,38
199460,88954,807D36770,2AA1D00EE60,13,25,38
288112,4116,8301A0340,2AA1FE08BB0,20,17,37
978275,45503,824D40080,2AA1F9D4F20,19,18,37
205725,17171,824D40030,2AA1F8DA280,18,19,37
28091,59513,81C393240,2AA1F774230,17,20,37
852871,87834,82E6C0F40,2AA1FDB1D50,15,22,37
1482508,20040,822C47980,2AA1F899730,14,23,37
64060,80142,83000CE40,2AA1FD43FE0,30,6,36
911630,47023,824DBE020,2AA1F93DF20,22,14,36
103930,119099,81A790790,2AA1F764490,20,16,36
708393,27742,8237E7A50,2AA1F94B8A0,15,21,36
189209,22421,821F8B330,2AA1FA56F90,13,23,36
460562,16258,81C3889D0,2AA1F80D7E0,25,10,35
957699,97716,821EBA890,2AA1F884E90,15,20,35
438552,34181,814F19890,2AA1CF5AF80,14,21,35
972739,13275,816F35E10,2AA1D35D0F0,22,12,34
92094,8201,81C389DF0,2AA1D604CF0,21,13,34
1875483,55743,820D462D0,2AA1D654E50,21,13,34
413544,77966,824D39E70,2AA1CFAD840,15,19,34
462735,10135,81C389FE0,2AA1D441950,13,21,34
806791,12822,8076422E0,2AA1E3935F0,23,10,33
691261,17171,822266F70,2AA1F8D2060,22,11,33
100663,28657,824D3A370,2AA1DBC8ED0,18,15,33
1943204,97716,822577140,2AA1F886750,18,15,33
771290,97716,82232F700,2AA1F886210,23,9,32
1905028,105108,8237E7AA0,2AA1FA29280,19,13,32
859906,17325,823C628A0,2AA1D9378B0,18,14,32
199255,54664,82230CE40,2AA1F89E620,17,15,32
1369119,101594,8222D14F0,2AA1F8C9CA0,13,19,32
830103,3170,81C5B2A60,2AA1F69FCD0,19,12,31
186964,85571,822F69B70,2AA1F8F83C0,16,15,31
1229632,12145,8013E8810,2AA1E184070,15,16,31
