account_key,bank_key,account_number,entity_id,laundering_sent_count,laundering_received_count,laundering_participations
34,16121,800225E80,2AA1EB93FD0,0,1,1
122,83271,8368B4E90,2AA1E4BE710,1,0,1
148,14861,83FD839A0,2AA202FE270,0,1,1
396,58210,800A4D350,2AA1E165DD0,0,1,1
420,90467,800103961,2AA208AC7D0,0,1,1
486,14111,81C93EBF0,2AA1EEF62A0,0,1,1
513,44052,81F717DF0,2AA1EBA73B0,0,1,1
575,26352,817F3F000,2AA1F5FF930,1,1,2
578,12011,812C5CD80,2AA1E947B50,1,0,1
618,101639,84986CC10,2AA205CC940,0,1,1
750,15821,833B8B4B0,2AA1D5621D0,1,0,1
776,13845,800200040,2AA1EE6D6C0,0,1,1
786,119396,80FE93EC0,2AA1F387720,1,1,2
862,54933,84798BFD0,2AA205B4660,0,1,1
932,20669,80D03BFE0,2AA1F0C5500,1,1,2
936,34357,80A2BACE0,2AA1E7621F0,1,1,2
947,52101,802507FE0,2AA1CCF4D80,1,0,1
983,101319,80E68D670,2AA20683BC0,1,0,1
984,19477,8005D6CF0,2AA20626900,1,1,2
1147,86604,801BF0B20,2AA20832920,1,1,2
1151,13503,83A8B6120,2AA200408B0,0,1,1
1196,78590,809680B20,2AA1CA97470,2,1,3
1281,63228,82C73E540,2AA1FAA72F0,0,1,1
1333,3635,8115A4440,2AA1D6D3530,1,0,1
1362,121708,8145EB1D0,2AA1F387060,0,1,1
1407,79728,823FFBB60,2AA208256E0,0,1,1
1427,100643,80D3D9460,2AA1F0B3000,0,1,1
1439,25265,812B3E060,2AA2061F2C0,1,0,1
1452,75699,80713C360,2AA1E6EB110,0,1,1
1459,92162,806BD58E0,2AA1D22CBE0,1,0,1
1480,100953,840335C70,2AA202202F0,0,2,2
1484,52191,8116897F0,2AA1F000C60,12,0,12
1498,86379,81067AD70,2AA1F212C00,1,0,1
1502,97335,84E7B4D70,2AA1E40E430,0,1,1
1519,16638,8023BF800,2AA1EED8A20,1,1,2
1542,19021,81D6DC500,2AA206D21F0,1,0,1
1639,104402,81793C510,2AA1D437830,1,0,1
1641,6742,80BF24A10,2AA1CE90D00,1,0,1
1803,57632,8283534C0,2AA1FAAEE10,0,1,1
1836,1509,800D006C0,2AA1E105700,1,1,2
1890,30584,8152D1350,2AA1CAFC5A0,1,1,2
1912,55553,80B1C9560,2AA20596A80,0,1,1
2061,59302,802C97280,2AA1E946CB0,0,1,1
2068,103898,807B9DE00,2AA20791C60,1,1,2
2076,96900,8296B1C00,2AA1FB7E2F0,1,0,1
2091,30821,8046B7300,2AA1D0636C0,0,1,1
2114,63443,807723090,2AA20265610,1,0,1
2129,121253,82E590F10,2AA1FCB76F0,0,1,1
2143,99490,80B6F4D10,2AA2067AB00,1,1,2
2148,67375,814430790,2AA1F3E8CF0,1,0,1
2212,75859,81BD5C620,2AA1CD35F00,0,1,1
2214,103898,80139DE20,2AA1CB65D20,15,7,22
2398,23727,8092FD7D0,2AA1CC79EC0,1,0,1
2418,74075,8002803E0,2AA1E4B6FB0,1,1,2
2455,33162,80B9767E0,2AA1E5DCF30,1,0,1
2458,76191,84D50DEE0,2AA1E0CC2F0,0,1,1
2497,24617,8007970F0,2AA20557970,2,0,2
2537,52753,85148A101,2AA1D8AEFB0,1,0,1
2618,5522,84B601790,2AA2059C020,0,1,1
2728,112592,8343D26B0,2AA1FFFBAC0,0,1,1
2810,104664,80D3100C0,2AA1F050FC0,0,1,1
2932,99398,831E86F60,2AA1FDF4F90,0,1,1
3078,72631,813595C00,2AA207FCE20,0,1,1
3138,14309,80E99F210,2AA1EFD61E0,1,0,1
3163,94224,83DB07490,2AA1DFB7390,0,1,1
3172,109257,8148B5F10,2AA1D2C6E20,1,0,1
3215,75673,81FE0A5A0,2AA1F74CAB0,0,1,1
3251,6179,8364EA030,2AA1FFF1700,0,1,1
3269,1509,800280430,2AA1EA3C670,1,0,1
3284,18988,810CDA6B0,2AA1F23AE60,1,1,2
3297,27147,8043BB430,2AA1D01B8C0,2,2,4
3299,106311,80379F530,2AA1CD63080,1,1,2
3327,26072,800A809C0,2AA1F13B680,0,1,1
3435,107407,82BF0EED0,2AA1FB84490,0,1,1
3505,80616,80330CF60,2AA1CC0E180,0,1,1
3598,19767,833187E00,2AA2012E650,0,1,1
3668,99490,802874C90,2AA207FFC40,1,0,1
3748,114161,836EFBF20,2AA1ED0F7D0,1,0,1
3767,118511,8494FDDB0,2AA20719E80,0,1,1
3802,51999,833098930,2AA1FE4D250,1,0,1
3813,42146,845B09A30,2AA1DC442D0,1,0,1
3871,74075,800180240,2AA1E0F6140,1,1,2
3888,16121,8002A5D50,2AA1EDD09F0,2,0,2
3912,6118,81F4B53D0,2AA1E5CD5D0,0,1,1
3916,74943,80133EA50,2AA1E41E9F0,0,1,1
3937,64402,84AF60A50,2AA1D26B3E0,0,1,1
3954,8066,83615C860,2AA20596CC0,0,1,1
4066,76000,80068B170,2AA1E13C170,1,1,2
4118,61094,822EF2A80,2AA2071B380,0,1,1
4242,32677,819016020,2AA204F69B0,0,3,3
4417,79482,8268E19D0,2AA1F8D67A0,0,1,1
4541,13845,8000804E0,2AA1E0DDCB0,0,1,1
4544,41253,829AB8CE0,2AA1D9BF290,0,1,1
4575,31413,80D46A5F0,2AA201C1F20,0,1,1
4707,115637,81153F810,2AA1EF7A8C0,1,2,3
4803,84434,826CEF9A0,2AA1E5D0270,1,0,1
4859,108256,8191CEE30,2AA1F67BC70,0,1,1
4912,25556,814658440,2AA1F4766C0,0,1,1
4997,26072,806B00E60,2AA207BC400,0,1,1
5017,102195,80E20FA60,2AA1F04C680,0,1,1
5020,12859,816E993E0,2AA1E9C2330,0,1,1
5095,118142,80EDF5F70,2AA1D546E70,1,0,1
5108,2253,8153FCB00,2AA20846210,1,0,1
5196,87778,8454D1410,2AA1F101520,0,1,1
5220,119327,805D5A310,2AA1E694F70,0,1,1
5227,52161,828377510,2AA1DD11830,1,1,2
5235,68626,83FA659A0,2AA205E0AF0,0,1,1
5250,64200,80BCC2020,2AA1EDD3490,0,1,1
5264,17171,82614CF20,2AA1F8A97E0,1,0,1
5279,43526,82C7F5420,2AA1F208CE0,1,0,1
5369,30003,8191C2B40,2AA1F638B30,0,1,1
5381,16258,81DD94F40,2AA1F79C030,0,1,1
5405,69613,83B1BD0C0,2AA200C0070,0,1,1
5460,35689,821637BD0,2AA207F2660,1,0,1
5477,28669,81CC239D0,2AA1CFFD4C0,1,0,1
5537,37762,80855A2E0,2AA1E357FB0,1,0,1
5611,35344,83E28AD00,2AA202202F0,0,1,1
5637,13407,81F794380,2AA1EC47290,1,0,1
5642,57877,825839000,2AA1DB913B0,1,0,1
5830,100078,80C6080C0,2AA207A84A0,0,1,1
5845,73627,81F301B40,2AA1F85FEE0,0,1,1
5852,71452,805904140,2AA1E287830,1,2,3
5859,75782,80F6023C0,2AA1D3820F0,1,0,1
5878,30671,81C1A73D0,2AA1F7E8AD0,0,1,1
5946,105337,801F9F360,2AA1E39AC90,1,1,2
5973,97335,802B349E0,2AA1E408EB0,1,1,2
6080,110167,831E58200,2AA1FE3F350,1,0,1
6113,95301,84FA7AC90,2AA207C13A0,0,1,1
6147,71165,807C7E610,2AA1D050E80,1,0,1
6208,34838,8021DC320,2AA1CB749E0,2,0,2
6389,74075,8005807D0,2AA1E0F7CA0,1,0,1
